thread_title,thread_url,thread_author,thread_datetime,snippet,doctors,clinics,city
[閒聊] 陪朋友諮詢才知...原來淚溝是骨頭縮進去,https://www.pttweb.cc/bbs/facelift/M.1765441304.A.101,,2025-12-11T16:21:00,最近陪朋友去諮詢淚溝 她一直以為自己是因為愛熬夜 膠原蛋白流失才會有那兩條 原本還興致勃勃跟醫生說想打精靈針或是洢蓮絲 順便刺激膠原蛋白長回來,還興致勃勃跟醫生,,
[閒聊] 陪朋友諮詢才知...原來淚溝是骨頭縮進去,https://www.pttweb.cc/bbs/facelift/M.1765441304.A.101,,2025-12-11T16:21:00,結果醫生語重心長地跟她說 她的淚溝不是單純的皮下凹陷 而是「眼眶骨流失」縮進去 了... 增生劑一旦打不好 凸一塊在那邊超明顯 如果要打一定要打在很深層的骨膜上做支撐 想問這個會容易失敗嗎?還是建議其他療程,結果醫生,,
[討論] 眼袋掉下去是幾歲會發生的事情？,https://www.pttweb.cc/bbs/facelift/M.1765435293.A.0F7,,2025-12-11T14:41:00,", 13 F 掉 錢逸群醫師內開做得很好 外側也有 12/15 13:45 , 13 F → eettinget 12/15 13:45,",錢逸群醫師,,
[討論] 眼袋掉下去是幾歲會發生的事情？,https://www.pttweb.cc/bbs/facelift/M.1765435293.A.0F7,,2025-12-11T14:41:00,", 18 F 來是去找阮智楷醫師做內開再搭配一 12/16 16:50 , 18 F → adalinelin 12/16 16:50,",是去找阮智楷醫師,,
[問題] 眼袋手術醫師請益(高雄),https://www.pttweb.cc/bbs/facelift/M.1765351155.A.C53,,2025-12-10T15:19:00,[問題] 眼袋手術醫師請益(高雄) - 看板facelift - PTT網頁版,眼袋手術醫師,,高雄
[問題] 眼袋手術醫師請益(高雄),https://www.pttweb.cc/bbs/facelift/M.1765351155.A.C53,,2025-12-10T15:19:00,"[問題] 眼袋手術醫師請益(高雄) ＋收藏 分享 看板 facelift 作者 lunpoflm87 (獨行狼) 時間 3月前 發表 (2025/12/10 15:19) , 編輯 推噓 15 ( 15 推 0 噓 8 → ) 留言 23則, 15人 參與 , 1年前 最新 討論串 1/1",眼袋手術醫師,,高雄
[問題] 眼袋手術醫師請益(高雄),https://www.pttweb.cc/bbs/facelift/M.1765351155.A.C53,,2025-12-10T15:19:00,想請大家推薦高雄眼袋手術醫師 (內開),高雄眼袋手術醫師,,高雄
[問題] 眼袋手術醫師請益(高雄),https://www.pttweb.cc/bbs/facelift/M.1765351155.A.C53,,2025-12-10T15:19:00,", 11 F 巧天工孫醫師，給他處理眼袋術後 12/11 12:15 , 11 F → margeryjanua 12/11 12:15,",巧天工孫醫師,,
[問題] 眼袋手術醫師請益(高雄),https://www.pttweb.cc/bbs/facelift/M.1765351155.A.C53,,2025-12-10T15:19:00,", 16 F 麗式診所王醫師很專業，我是內開轉位 12/15 15:44 , 16 F → Goerdroger 12/15 15:44,",麗式診所王醫師,麗式診所,
[問題] 雙北非手術，眼袋醫美推薦,https://www.pttweb.cc/bbs/facelift/M.1764917191.A.65B,,2025-12-05T14:46:00,[問題] 雙北非手術，眼袋醫美推薦 - 看板facelift - PTT網頁版,,眼袋醫美,
[問題] 雙北非手術，眼袋醫美推薦,https://www.pttweb.cc/bbs/facelift/M.1764917191.A.65B,,2025-12-05T14:46:00,"[問題] 雙北非手術，眼袋醫美推薦 ＋收藏 分享 看板 facelift 作者 yakabx7482 (殘天地) 時間 3月前 發表 (2025/12/05 14:46) , 編輯 推噓 13 ( 13 推 0 噓 6 → ) 留言 19則, 13人 參與 , 3月前 最新 討論串 1/1",,眼袋醫美,
[問題] 雙北非手術，眼袋醫美推薦,https://www.pttweb.cc/bbs/facelift/M.1764917191.A.65B,,2025-12-05T14:46:00,想問各位有沒有推薦雙北地區非手術處理眼袋跟淚溝厲害的診所 雖然眼袋不深但淚溝凹陷蠻嚴重的 看起來好老(;′Д`),,有推薦雙北地區非手術處理眼袋跟淚溝厲害的診所,
[討論] 黑眼圈求助 請推新北優質診所,https://www.pttweb.cc/bbs/facelift/M.1764646570.A.83C,,2025-12-02T11:36:00,[討論] 黑眼圈求助 請推新北優質診所 - 看板facelift - PTT網頁版,,請推新北優質診所,新北
[討論] 黑眼圈求助 請推新北優質診所,https://www.pttweb.cc/bbs/facelift/M.1764646570.A.83C,,2025-12-02T11:36:00,"[討論] 黑眼圈求助 請推新北優質診所 ＋收藏 分享 看板 facelift 作者 rosiatfuy9 (蘿思芙) 時間 3月前 發表 (2025/12/02 11:36) , 編輯 推噓 10 ( 10 推 0 噓 1 → ) 留言 11則, 11人 參與 , 3月前 最新 討論串 1/1",,請推新北優質診所,新北
[討論] 眼袋手術真的要順便補脂蘋果肌嗎？,https://www.pttweb.cc/bbs/facelift/M.1763362191.A.1C4,,2025-11-17T14:49:00,發現超多診所都會推「做眼袋順便補脂蘋果肌」的方案 說什麼反正都要麻了 一起做比較划算 但看了一些案例又有人說補脂容易不均、之後還會變形 有點搞不懂這兩個是不是本來就該綁在一起？ 還是其實各做各的比較安全?,,發現超多診所,
[閒聊] 眼袋是不是真的很影響視覺年齡,https://www.pttweb.cc/bbs/facelift/M.1763025409.A.6AD,,2025-11-13T17:16:00,最近照鏡子有發現自己的眼周有越來越老態的趨勢 已經開始有點細紋、眼袋也有一丟丟冒出來的徵兆.... 感覺眼袋出線之後，視覺年齡都被+了好幾歲 是不是該做個醫美改善了qqq,,是不是該做個醫美,
[分享] 內開眼袋+隱形提眉術後一個月分享已刪文,https://www.pttweb.cc/bbs/facelift/M.1762399478.A.473,,2025-11-06T11:24:00,本來的眉毛跟眼睛的距離真的太近，很明顯的眉壓眼 快邁入三字頭，越來越覺得眼皮的狀態每況愈下，感覺是越來越垂 同事都以為我是因為工作問題常皺眉（但其實是眉壓眼的問題） 因為家人在巨X就有找過院長處理眼袋 所以我也鼓起勇氣問院長我眼袋跟眉壓眼的問題可不可以一起解決？ 院長說我原本就有雙眼皮，可以用隱形提眉手術改善眉壓眼，這樣眼型看起來更順 就不會有那種皺眉或是瞪人的感覺（哈）雙眼皮也會更明顯 手術是安排在諮詢後兩個禮拜，這兩個禮拜都蠻期待眼袋跟眉壓眼可以趕快消失 很可惜我沒有記錄到術後當下的樣子，只能用文字跟大家大概說...,"巨X就有找過院長,也鼓起勇氣問院長",,
[問題] 關於眼袋手術的醫師,https://www.pttweb.cc/bbs/facelift/M.1762063033.A.B53,,2025-11-02T13:57:00,[問題] 關於眼袋手術的醫師 - 看板facelift - PTT網頁版,於眼袋手術的醫師,,
[問題] 關於眼袋手術的醫師,https://www.pttweb.cc/bbs/facelift/M.1762063033.A.B53,,2025-11-02T13:57:00,"[問題] 關於眼袋手術的醫師 ＋收藏 分享 看板 facelift 作者 isislove (isislove) 時間 4月前 發表 (2025/11/02 13:57) , 編輯 推噓 1 ( 1 推 0 噓 3 → ) 留言 4則, 2人 參與 , 4月前 最新 討論串 1/1",於眼袋手術的醫師,,
[問題] 關於眼袋手術的醫師,https://www.pttweb.cc/bbs/facelift/M.1762063033.A.B53,,2025-11-02T13:57:00,我想請問一下眼袋手術 蠻多人推薦陳建璋醫師 我發現有兩位陳建璋醫師耶… 一位在君綺，一位在萊佳跟群英 請問大家說的是哪一位？,"人推薦陳建璋醫師,有兩位陳建璋醫師",,
[問題] 黑眼圈與淚溝治療推薦 問台北醫美,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B,,2025-10-31T14:29:00,[問題] 黑眼圈與淚溝治療推薦 問台北醫美 - 看板facelift - PTT網頁版,,問台北醫美,台北
[問題] 黑眼圈與淚溝治療推薦 問台北醫美,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B,,2025-10-31T14:29:00,"[問題] 黑眼圈與淚溝治療推薦 問台北醫美 ＋收藏 分享 看板 facelift 作者 qi71nbpcvy (虎虎小姐) 時間 5月前 發表 (2025/10/31 14:29) , 編輯 推噓 13 ( 13 推 0 噓 5 → ) 留言 18則, 13人 參與 , 4月前 最新 討論串 1/1",,問台北醫美,台北
[問題] 黑眼圈與淚溝治療推薦 問台北醫美,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B,,2025-10-31T14:29:00,黑眼圈看起來永遠像沒睡飽 (朋友說也可能是淚溝問題) 總之拍照好醜 想問台北有沒有推薦的診所可以處理黑眼圈或淚溝 (不要狂推銷的) 希望是美感好的醫師 跪求推薦感恩,望是美感好的醫師,想問台北有沒有推薦的診所,台北
[分享] 困擾眼袋黑眼圈文長分享(妮芙蕾澎怦針),https://www.pttweb.cc/bbs/facelift/M.1761118788.A.D8E,,2025-10-22T15:39:00,以前都覺得那是化妝能遮的問題，但隨著年紀大、熬夜頻率高，發現就算遮瑕厚到快像水泥 牆，還是看起來沒精神。加上蘋果肌也變得凹凹的，整張臉看起來疲倦又顯老。 後來我就開始瘋狂做功課，看了超多醫美比較文有熊貓針、澎怦針也看了YouTube 影片，才 發現很多人推薦一個叫「妮芙蕾NeoFilera」的新技術。他是台灣研發的新一代膠原蛋白增生 劑，它不是單純的玻尿酸，是結合了即時填充＋長效膠原再生的針劑。主要成分是 PDLLA 聚雙旋乳酸（75%）能刺激膠原蛋白再生、改善鬆弛與細紋 CMC 羧甲基纖維素（25%）提供立即填充...,另外醫師,看了超多醫美,桃園
[問題] 眼袋or黑眼圈or淚溝 高雄診所,https://www.pttweb.cc/bbs/facelift/M.1761033227.A.1F4,,2025-10-21T15:53:00,[問題] 眼袋or黑眼圈or淚溝 高雄診所 - 看板facelift - PTT網頁版,,高雄診所,高雄
[問題] 眼袋or黑眼圈or淚溝 高雄診所,https://www.pttweb.cc/bbs/facelift/M.1761033227.A.1F4,,2025-10-21T15:53:00,"[問題] 眼袋or黑眼圈or淚溝 高雄診所 ＋收藏 分享 看板 facelift 作者 xinddp77 (落日有很餓) 時間 5月前 發表 (2025/10/21 15:53) , 編輯 推噓 10 ( 10 推 0 噓 1 → ) 留言 11則, 10人 參與 , 5月前 最新 討論串 1/1",,高雄診所,高雄
[問題] 眼袋or黑眼圈or淚溝 高雄診所,https://www.pttweb.cc/bbs/facelift/M.1761033227.A.1F4,,2025-10-21T15:53:00,", 7 F 頤森美學黃院長 眼袋專業的 10/22 08:45 , 7 F 推 jundiby0 10/22 09:43,",頤森美學黃院長,,
[問題] 眼袋凹很深 手術一起補脂是好選擇嗎,https://www.pttweb.cc/bbs/facelift/M.1760934084.A.083,,2025-10-20T12:21:00,", 5 F 眼袋內開手術，醫生建議是不用補脂，因 10/20 17:56 , 5 F → duckaydo 10/20 17:56,",,,
[問題] 眼袋凹很深 手術一起補脂是好選擇嗎,https://www.pttweb.cc/bbs/facelift/M.1760934084.A.083,,2025-10-20T12:21:00,", 8 F 可以問問看醫生，眼袋手術取出脂肪之後會 10/21 14:25 , 8 F → ticaoda 10/21 14:25,",可以問問看醫生,,
[問題] 眼袋凹很深 手術一起補脂是好選擇嗎,https://www.pttweb.cc/bbs/facelift/M.1760934084.A.083,,2025-10-20T12:21:00,", 11 F 眼袋處理推恆麗美學診所 他們很專業 10/21 14:57 , 11 F → belia27bsb 10/21 14:57,",,眼袋處理推恆麗美學診所,
[問題] 醫院開眼袋，是否無法選擇舒眠,https://www.pttweb.cc/bbs/facelift/M.1760846735.A.60F,,2025-10-19T12:05:00,[問題] 醫院開眼袋，是否無法選擇舒眠 - 看板facelift - PTT網頁版,,[問題] 醫院開眼袋，是否無法,
[問題] 醫院開眼袋，是否無法選擇舒眠,https://www.pttweb.cc/bbs/facelift/M.1760846735.A.60F,,2025-10-19T12:05:00,"[問題] 醫院開眼袋，是否無法選擇舒眠 ＋收藏 分享 看板 facelift 作者 softcola (秋意濃~~) 時間 5月前 發表 (2025/10/19 12:05) , 編輯 推噓 1 ( 1 推 0 噓 2 → ) 留言 3則, 1人 參與 , 5月前 最新 討論串 1/1",,[問題] 醫院開眼袋，是否無法,
[問題] 醫院開眼袋，是否無法選擇舒眠,https://www.pttweb.cc/bbs/facelift/M.1760846735.A.60F,,2025-10-19T12:05:00,想做眼袋又怕醒著做太痛太可怕，前陣子好幾件診所舒眠造成死亡，所以想找醫院做，畢 竟有比較完善的麻醉資源，前幾天諮詢長庚黃耀立，他表示只能局部麻醉，無法舒眠，畢 竟醫院體系要從醫學角度考量，不像診所是商業考量，難道都沒有可以選擇舒眠做眼袋的 醫院嗎？另外有些診所是打鎮定點滴，醒著但昏昏欲睡，這種是否比較沒風險?是不是也 有醫院可以選這種點滴的?,,"前陣子好幾件診所,所以想找醫院,不像診所,另外有些診所",
[問題] 醫院開眼袋，是否無法選擇舒眠,https://www.pttweb.cc/bbs/facelift/M.1760846735.A.60F,,2025-10-19T12:05:00,", 1 F 給黃醫師局麻開過眼袋，過程真的完全 10/20 21:52 , 1 F → krustykrab 10/20 21:52,",給黃醫師,,
[問題] 請推薦眼袋醫生 陳瑋農或鄭穎,https://www.pttweb.cc/bbs/facelift/M.1760684363.A.6EA,,2025-10-17T14:59:00,[問題] 請推薦眼袋醫生 陳瑋農或鄭穎 - 看板facelift - PTT網頁版,請推薦眼袋醫生,,
[問題] 請推薦眼袋醫生 陳瑋農或鄭穎,https://www.pttweb.cc/bbs/facelift/M.1760684363.A.6EA,,2025-10-17T14:59:00,"[問題] 請推薦眼袋醫生 陳瑋農或鄭穎 ＋收藏 分享 看板 facelift 作者 bluemartin (martin) 時間 5月前 發表 (2025/10/17 14:59) , 編輯 推噓 0 ( 0 推 0 噓 0 → ) 留言 0則, 0人 參與 , 最新 討論串 1/1",請推薦眼袋醫生,,
