entity_type,entity,recommended_count,not_recommended_count,unknown_count,thread_count,threads
clinic,想找做眼袋的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1759389991.A.54B
clinic,滿多人都推薦台生診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1759389991.A.54B
clinic,想問台北還有沒有其他除眼袋做得自然又穩的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1759389991.A.54B
doctor,手術權威醫生,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1754033321.A.E16
doctor,院或權威醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1754033321.A.E16
clinic,台北有推薦醫院,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1754033321.A.E16
clinic,有人推薦台北哪間診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1749108186.A.762
doctor,萬要慎選醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1749108186.A.762
clinic,眼袋手術一定要找案例多的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1749108186.A.762
clinic,有沒有熟台北的板友可以推薦一下診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1748338627.A.B7E
doctor,陳啓傑醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1748338627.A.B7E
doctor,陳信宏醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1744786117.A.A6D
doctor,推群英黃醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1744085579.A.08E
doctor,長這塊的醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1742270349.A.644
clinic,長這塊的醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1742270349.A.644
doctor,看到有醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1740560246.A.661
doctor,的熊貓針醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1740560246.A.661
clinic,的熊貓針醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1740560246.A.661
doctor,台北哪位醫生,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1740040827.A.585
clinic,已經先上網爬文找了3家網友比較推薦的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1740040827.A.585
clinic,價格比其他診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1740040827.A.585
clinic,請問大家有在這幾家診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1740040827.A.585
clinic,或是有沒有其他推薦的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1740040827.A.585
clinic,有上網爬文蒐集一些診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1732177592.A.432
clinic,但沒做過醫美,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1732177592.A.432
clinic,如果有台北推薦的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1732177592.A.432
doctor,的診所或醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125
clinic,最近想要去醫美,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125
clinic,有推薦台北的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125
doctor,個月給蕭醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1731636764.A.946
doctor,多找幾個醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1724037740.A.E7B
doctor,的醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1724037740.A.E7B
doctor,台北地區醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1717222586.A.FEC
clinic,台北美麗線診所,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1712945124.A.08A
clinic,已經爬文並線上諮詢了幾個診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1710958084.A.37E
doctor,我給蔡醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1710958084.A.37E
doctor,璞美荊醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1710958084.A.37E
doctor,要找二修醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1703829056.A.C45
clinic,台北新北有推薦的醫美診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1701236605.A.3AC
clinic,因為沒做過醫美,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1701236605.A.3AC
doctor,台北眼袋醫師,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1700914903.A.967
doctor,是當年老醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1700914903.A.967
doctor,麗線的黃醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1698114631.A.70E
doctor,驗豐富的醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1698114631.A.70E
doctor,直接給醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1698114631.A.70E
doctor,曼都給李院長,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1698114631.A.70E
doctor,議診所及醫師,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1697816579.A.3BF
clinic,台北眼袋手術建議診所,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1697816579.A.3BF
doctor,道找哪位醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1697816579.A.3BF
doctor,袋內開的醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690
doctor,薦的眼袋醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690
clinic,薦的眼袋醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690
doctor,華尚水蔡醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1692081312.A.780
doctor,但我覺得醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1692081312.A.780
doctor,的傅如鵬醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1692081312.A.780
doctor,的診所跟醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598
clinic,求推薦眼袋手術的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598
doctor,美博的詹院長,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598
doctor,很兩極的醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1685100009.A.6A2
doctor,水的蔡醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1685100009.A.6A2
doctor,但是很吃醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1685100009.A.6A2
clinic,或推薦其他台北眼袋內開診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1667274446.A.57D
doctor,緻醫美杜醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29
doctor,眼科專科醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29
doctor,給蕭奕君醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29
clinic,我是給極緻醫美,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29
doctor,美診所及醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1660047112.A.16E
clinic,求有經驗的帥哥美女推薦醫美診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1660047112.A.16E
doctor,給信任的醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1660047112.A.16E
doctor,的張立平醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1660047112.A.16E
doctor,想問醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
doctor,想請問醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
doctor,請問醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
doctor,想詢問醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
doctor,請問醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
doctor,想問醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
doctor,想請問醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
doctor,現在問醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
doctor,也想問醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
doctor,跟診所及醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
doctor,請問診所醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
doctor,詢問診所醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
doctor,想知道醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
clinic,請問醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
clinic,請問診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
clinic,現在問醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
clinic,價錢及診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
clinic,想詢問割眼袋價錢跟診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
clinic,想請問醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
clinic,想詢問診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F
doctor,推薦哪位醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1651405224.A.6D9
doctor,一下其他醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1649560185.A.83F
clinic,一下其他醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1649560185.A.83F
doctor,在如一蕭醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1649560185.A.83F
doctor,雖然醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1648541415.A.A95
doctor,眼袋醫師,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43
doctor,我是給李醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43
doctor,極緻杜醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43
doctor,大醫院的醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1640591727.A.FB6
clinic,但實在不太敢在診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1640591727.A.FB6
clinic,不知道有沒有人推薦台北大醫院,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1640591727.A.FB6
doctor,眼袋診所醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1640591727.A.FB6
clinic,借文想問推薦的台北眼袋診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1640591727.A.FB6
doctor,淚溝的醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1638883411.A.94B
doctor,家推薦的醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1638883411.A.94B
doctor,人放心的醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D
doctor,蕭奕君醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D
clinic,人放心的醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D
clinic,如一整形外科診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D
doctor,詢了滿多醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1633002101.A.C2B
clinic,考慮好幾天也問了身邊比較常做醫美,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1633002101.A.C2B
doctor,君綺陳院長,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1632813291.A.5E8
doctor,形外科陳醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1632813291.A.5E8
clinic,但我自己的經驗確實是找到值得信任的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1632299340.A.038
doctor,星林敬鈞醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1629376673.A.CF1
clinic,", 14 F 諮詢看,診所在松江南京1號口",1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1629376673.A.CF1
doctor,台北哪家醫師,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1626886480.A.335
clinic,對這邊醫美,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1626355988.A.693
doctor,給余德毅醫生,0,0,2,2,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690 | https://www.pttweb.cc/bbs/facelift/M.1709200843.A.BF3
doctor,找蔡宗岳醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1759389991.A.54B
doctor,築美的浦醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1753961213.A.E61
doctor,估完覺得醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1750656338.A.AED
doctor,莊X揚醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1749284377.A.7A5
doctor,知道其他醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1749284377.A.7A5
doctor,不完全是醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1740560246.A.661
doctor,淚溝太吃醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1740560246.A.661
clinic,光澤診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1740560246.A.661
doctor,蕭x隆醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1740040827.A.585
doctor,找楊仕安醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1740040827.A.585
doctor,余德毅醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125
doctor,鍾立人醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125
doctor,沒有要聽醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1731636764.A.946
doctor,漾國際錢醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1731297598.A.600
doctor,和黃仁吳醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1724666584.A.054
doctor,價不錯的醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1724666584.A.054
doctor,如果醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1719979703.A.84F
doctor,美麗線黃醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1712945124.A.08A
doctor,得這位女醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1712945124.A.08A
clinic,我自己跟家人在台生診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1710958084.A.37E
doctor,麗舍的陳醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1710958084.A.37E
doctor,儷人的鍾醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1709200843.A.BF3
doctor,絕色給孫醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1709200843.A.BF3
doctor,的李京軒醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1700914903.A.967
doctor,後也覺得醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1699060021.A.CDD
doctor,英洪章桂醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690
doctor,一輪下來醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690
doctor,慕顏周杰醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690
doctor,給晶美陳院長,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1693985291.A.22C
clinic,所以想說先在第二間診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1692251416.A.5E9
doctor,解診所跟醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1692251416.A.5E9
clinic,想了解診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1692251416.A.5E9
doctor,貌似蠻吃醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598
doctor,給張容輔醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598
clinic,中山的晶華診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598
doctor,確實很吃醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598
doctor,的楊國輝醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1689580468.A.B01
doctor,皮都給風x林醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1689580468.A.B01
clinic,然後覺得很不錯的診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1678870258.A.355
doctor,家有名的醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1671634979.A.247
doctor,中有一家醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1671634979.A.247
clinic,又很怕留疤太明顯， （該診所諮詢師提供的照片,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1671634979.A.247
doctor,找陳承謙醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1671634979.A.247
doctor,結果醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29
clinic,近期又去了米蘭時尚診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29
doctor,給楊院長,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1649560185.A.83F
doctor,預約了楊醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648541415.A.A95
clinic,手術資訊如下 診所：粹究美學 醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648541415.A.A95
doctor,美學給蔡醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648541415.A.A95
doctor,割眼袋的醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43
doctor,都不錯的醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43
doctor,的費用和醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43
doctor,覺得醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43
clinic,在台北的一棟大樓裡 診所裡面感覺上有點老,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1642391177.A.5DB
clinic,最近諮詢台北某醫美診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1638465425.A.C09
doctor,到現場後醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D
doctor,真的就像醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D
clinic,本來想說這間診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D
clinic,回家前診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D
doctor,術前跟醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1633002101.A.C2B
doctor,另外醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1632299340.A.038
doctor,去跟醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1631372371.A.FE2
doctor,應該跟醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1631372371.A.FE2
doctor,得不錯的醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1627569863.A.7D2
doctor,結果現在醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1627569863.A.7D2
clinic,結果現在醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1627569863.A.7D2
